testing logger
TEBDEngine: subconfig 'trunc_params'=Config(<2 options>, 'trunc_params')
TEBDEngine: reading 'dt'=0.1
TEBDEngine: reading 'N_steps'=1
TEBDEngine: reading 'order'=4
Calculate U for {'order': 4, 'delta_t': 0.1, 'type_evo': 'real', 'E_offset': None, 'tau': 0.1}
trunc_params: reading 'chi_max'=100
trunc_params: reading 'svd_min'=1e-12
--> time=15.200, max(chi)=32, max(S)=1.71193, avg DeltaS=-3.7448e-03, since last update: 0.0s
--> time=15.300, max(chi)=32, max(S)=1.71042, avg DeltaS=-3.1242e-03, since last update: 0.0s
--> time=15.400, max(chi)=32, max(S)=1.71106, avg DeltaS=-2.3277e-03, since last update: 0.0s
--> time=15.500, max(chi)=32, max(S)=1.71384, avg DeltaS=-1.3847e-03, since last update: 0.0s
--> time=15.600, max(chi)=32, max(S)=1.71868, avg DeltaS=-3.3238e-04, since last update: 0.0s
--> time=15.700, max(chi)=32, max(S)=1.72542, avg DeltaS=7.8639e-04, since last update: 0.0s
--> time=15.800, max(chi)=32, max(S)=1.73383, avg DeltaS=1.9250e-03, since last update: 0.0s
--> time=15.900, max(chi)=32, max(S)=1.74360, avg DeltaS=3.0352e-03, since last update: 0.0s
--> time=16.000, max(chi)=32, max(S)=1.75440, avg DeltaS=4.0681e-03, since last update: 0.0s
--> time=16.100, max(chi)=32, max(S)=1.76584, avg DeltaS=4.9778e-03, since last update: 0.0s
--> time=16.200, max(chi)=32, max(S)=1.77751, avg DeltaS=5.7255e-03, since last update: 0.0s
--> time=16.300, max(chi)=32, max(S)=1.78905, avg DeltaS=6.2783e-03, since last update: 0.0s
--> time=16.400, max(chi)=32, max(S)=1.80007, avg DeltaS=6.6085e-03, since last update: 0.0s
--> time=16.500, max(chi)=32, max(S)=1.81022, avg DeltaS=6.6950e-03, since last update: 0.0s
--> time=16.600, max(chi)=32, max(S)=1.81916, avg DeltaS=6.5235e-03, since last update: 0.0s
--> time=16.700, max(chi)=32, max(S)=1.82656, avg DeltaS=6.0877e-03, since last update: 0.0s
--> time=16.800, max(chi)=32, max(S)=1.83214, avg DeltaS=5.3897e-03, since last update: 0.0s
--> time=16.900, max(chi)=32, max(S)=1.83563, avg DeltaS=4.4403e-03, since last update: 0.0s
--> time=17.000, max(chi)=32, max(S)=1.83682, avg DeltaS=3.2593e-03, since last update: 0.0s
--> time=17.100, max(chi)=32, max(S)=1.83556, avg DeltaS=1.8749e-03, since last update: 0.0s
--> time=17.200, max(chi)=32, max(S)=1.83175, avg DeltaS=3.2287e-04, since last update: 0.0s
--> time=17.300, max(chi)=32, max(S)=1.82536, avg DeltaS=-1.3546e-03, since last update: 0.0s
--> time=17.400, max(chi)=32, max(S)=1.81643, avg DeltaS=-3.1100e-03, since last update: 0.0s
--> time=17.500, max(chi)=32, max(S)=1.80510, avg DeltaS=-4.8924e-03, since last update: 0.0s
--> time=17.600, max(chi)=32, max(S)=1.79157, avg DeltaS=-6.6492e-03, since last update: 0.0s
--> time=17.700, max(chi)=32, max(S)=1.77613, avg DeltaS=-8.3270e-03, since last update: 0.0s
--> time=17.800, max(chi)=32, max(S)=1.75913, avg DeltaS=-9.8739e-03, since last update: 0.0s
